race_id,race_id_join,race_round,race_year,race_name,race_date,circuit_name,circuit_location,circuit_country,circuit_latitude,circuit_longitude,data_source,ingestion_date
81,German Grand Prix1959,6,1959,German Grand Prix,1959-08-02 06:00:00,AVUS,Berlin,Germany,52.4806,13.2514,dev,2024-06-06
420,Australian Grand Prix1985,16,1985,Australian Grand Prix,1985-11-03 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
436,Australian Grand Prix1986,16,1986,Australian Grand Prix,1986-10-26 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
452,Australian Grand Prix1987,16,1987,Australian Grand Prix,1987-11-15 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
468,Australian Grand Prix1988,16,1988,Australian Grand Prix,1988-11-13 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
484,Australian Grand Prix1989,16,1989,Australian Grand Prix,1989-11-05 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
500,Australian Grand Prix1990,16,1990,Australian Grand Prix,1990-11-04 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
516,Australian Grand Prix1991,16,1991,Australian Grand Prix,1991-11-03 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
532,Australian Grand Prix1992,16,1992,Australian Grand Prix,1992-11-08 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
548,Australian Grand Prix1993,16,1993,Australian Grand Prix,1993-11-07 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
564,Australian Grand Prix1994,16,1994,Australian Grand Prix,1994-11-13 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
581,Australian Grand Prix1995,17,1995,Australian Grand Prix,1995-11-12 06:00:00,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,dev,2024-06-06
75,Moroccan Grand Prix1958,11,1958,Moroccan Grand Prix,1958-10-19 06:00:00,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,dev,2024-06-06
47,British Grand Prix1955,6,1955,British Grand Prix,1955-07-16 06:00:00,Aintree,Liverpool,UK,53.4769,-2.94056,dev,2024-06-06
61,British Grand Prix1957,5,1957,British Grand Prix,1957-07-20 06:00:00,Aintree,Liverpool,UK,53.4769,-2.94056,dev,2024-06-06
80,British Grand Prix1959,5,1959,British Grand Prix,1959-07-18 06:00:00,Aintree,Liverpool,UK,53.4769,-2.94056,dev,2024-06-06
99,British Grand Prix1961,5,1961,British Grand Prix,1961-07-15 06:00:00,Aintree,Liverpool,UK,53.4769,-2.94056,dev,2024-06-06
107,British Grand Prix1962,5,1962,British Grand Prix,1962-07-21 06:00:00,Aintree,Liverpool,UK,53.4769,-2.94056,dev,2024-06-06
582,Australian Grand Prix1996,1,1996,Australian Grand Prix,1996-03-10 06:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,dev,2024-06-06
598,Australian Grand Prix1997,1,1997,Australian Grand Prix,1997-03-09 06:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,dev,2024-06-06
615,Australian Grand Prix1998,1,1998,Australian Grand Prix,1998-03-08 06:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,dev,2024-06-06
631,Australian Grand Prix1999,1,1999,Australian Grand Prix,1999-03-07 06:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,dev,2024-06-06
647,Australian Grand Prix2000,1,2000,Australian Grand Prix,2000-03-12 06:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,dev,2024-06-06
